word,pos,assigned_atom,cos_self,cos_top2,top2_atom,margin,margin_local,local_top_atom,l2_self,focus_rate
scold,v,SOC.criticize,0.943136,0.918334,SOC.refuse,0.024802,0.024802,SOC.refuse,8.484981,0.619
painter,n,ACT.create,0.863668,0.838851,WLD.art,0.024817,0.024817,WLD.art,8.672475,0.4681
mind,v,COG.intention,0.944136,0.919319,FND.mind,0.024817,0.024817,FND.mind,5.762715,0.5551
Roneo,n,ACT.build,0.911691,0.886873,COG.separate,0.024818,0.024818,COG.separate,4.794717,0.3624
patrisib,n,SOC.family,0.882928,0.85811,BEI.parent,0.024818,0.024818,BEI.parent,5.267341,0.3372
result,n,ACT.create,0.794578,0.769758,ACT.make,0.02482,0.02482,ACT.make,9.032828,0.8043
consular,adj,SOC.official,0.898716,0.87388,SOC.citizen,0.024836,0.024836,SOC.citizen,4.961611,0.3869
clon,n,EXS.being,0.856034,0.831179,EXS.vitality,0.024855,0.024855,EXS.vitality,8.38441,0.325
hardening,n,FND.transformation,0.740672,0.715812,COG.separate,0.02486,0.02486,COG.separate,10.953592,0.6768
frivolous,adj,FND.play,0.575732,0.737829,PRP.shallow,-0.162097,0.024861,SOC.praise,8.213562,0.4358
exile,v,SOC.stateless,0.890959,0.866091,ACT.abandon,0.024868,0.024868,ACT.abandon,7.935728,0.5021
excoriation,n,SOC.criticize,0.945466,0.920574,VAL.falsehood,0.024891,0.024892,VAL.falsehood,5.166291,0.5081
libation,n,MAT.drink,0.806139,0.833919,ELM.earth,-0.02778,0.024893,PRP.bright,7.133394,0.8074
thoughtlessness,n,COG.mindless,0.962049,0.937149,EMO.pride,0.024899,0.0249,EMO.pride,3.665246,0.5434
catchfly,n,NAT.flower,0.828894,0.803991,NAT.tree,0.024902,0.024903,NAT.tree,7.239092,0.5754
dissolve,v,ACT.dissolve,0.92133,0.896422,CHG.decay,0.024908,0.024908,CHG.decay,5.438092,0.5664
British people,n,SOC.nation,0.786815,0.761904,SOC.family,0.024911,0.024911,SOC.family,11.484695,0.483
express,adj,EMO.manifest,0.867771,0.886843,VAL.beauty,-0.019072,0.024913,EMO.love,8.651385,0.5034
hope,v,EXS.being,0.851484,0.82655,EXS.spirit,0.024934,0.024934,EXS.spirit,13.255687,0.3991
clinker,v,FND.transformation,0.876921,0.851968,STA.healing,0.024953,0.024953,STA.healing,8.32626,0.6414
sanguine,adj,EMO.hope,0.975477,0.950522,ACT.calm,0.024955,0.024955,ACT.calm,3.659407,0.5972
tempestuous,adj,EMO.anger,0.938631,0.913673,LOG.unreason,0.024958,0.024958,LOG.unreason,6.068075,0.3955
out of practice,adj,WLD.unskilled,0.801609,0.776651,EXS.absence,0.024958,0.024958,EXS.absence,7.484018,0.575
awe,n,EMO.fear,0.864237,0.885807,EMO.sorrow,-0.021571,0.024966,EMO.wish,6.704981,0.361
past,adj,TIM.past,0.789144,0.808873,ABS.release,-0.019729,0.024987,FND.time,21.071065,0.3513
mediocre,adj,LOG.cause,0.804802,0.871043,EMO.anger,-0.06624,0.02501,PRP.difficult,7.648165,0.48
violent,adj,EMO.anger,0.962941,0.937927,EMO.hate,0.025015,0.025014,EMO.hate,5.169524,0.6869
exaltation,n,SOC.praise,0.802366,0.777349,ABS.other,0.025017,0.025017,ABS.other,9.965229,0.7743
breakable,adj,CHG.decay,0.906627,0.881598,STA.illness,0.025029,0.025029,STA.illness,7.285708,0.5436
sack,n,ABS.release,0.772523,0.892452,SOC.refuse,-0.119929,0.025043,SOC.refuse,11.338648,0.8468
obligation,n,ABS.responsibility,0.909704,0.88465,EMO.trust,0.025054,0.025054,EMO.trust,10.241107,0.5606
vitiate,v,VAL.profane,0.836113,0.816465,WLD.nonscience,0.019648,0.025069,VAL.sacred,8.244869,0.7247
inventor,n,ACT.build,0.881145,0.85607,WLD.art,0.025075,0.025075,WLD.art,11.918826,0.5651
venture,v,SOC.work,0.721354,0.808178,CHG.begin,-0.086824,0.025077,SOC.official,13.73676,0.3774
desirable,adj,VAL.beauty,0.925501,0.900403,PRP.deep,0.025098,0.025098,PRP.deep,6.229219,0.7285
mom,n,BEI.parent,0.938836,0.913736,EMO.love,0.025099,0.0251,EMO.love,7.315381,0.4041
prehend,v,ACT.take,0.939246,0.914143,TIM.come,0.025103,0.025103,TIM.come,4.550048,0.6049
buy,v,EXS.being,0.736658,0.784374,ACT.emit,-0.047716,0.025106,EXS.vitality,11.640652,0.5829
immediacy,n,FND.intuition,0.942206,0.917091,FND.languageless,0.025114,0.025115,FND.languageless,6.034892,0.547
computer,n,ACT.give,0.913447,0.888331,ECO.sell,0.025115,0.025116,ECO.sell,7.402114,0.4249
tempest-tost,adj,EMO.worry,0.94637,0.921251,EMO.anxiety,0.025119,0.025119,EMO.anxiety,8.045478,0.583
commandant,n,SOC.official,0.923304,0.898181,SOC.citizen,0.025123,0.025123,SOC.citizen,7.376977,0.5184
attribution,n,COG.think,0.87864,0.85516,ABS.responsibility,0.02348,0.025126,LOG.reason,8.715426,0.4759
grouse,v,WLD.artless,0.801346,0.776216,WLD.unskilled,0.02513,0.02513,WLD.unskilled,5.259133,0.3752
bank note,n,ECO.currency,0.919698,0.894561,SPC.place,0.025137,0.025137,SPC.place,7.076286,0.7714
despairing,adj,EMO.despair,0.973862,0.948725,EMO.unhappiness,0.025137,0.025137,EMO.unhappiness,4.426862,0.7713
noncommissioned officer,n,SOC.official,0.842343,0.817189,SOC.citizen,0.025154,0.025154,SOC.citizen,8.574945,0.5822
female parent,n,BEI.parent,0.934924,0.909758,SOC.request,0.025166,0.025166,SOC.request,6.461081,0.7086
sulfurous,adj,PRP.hot,0.886637,0.91496,ELM.fire,-0.028323,0.025175,PRP.cold,6.043718,0.5481
headliner,n,ACT.give,0.575471,0.762996,COM.cooperate,-0.187525,0.025176,ACT.calm,13.67391,0.5068
scintillant,adj,PRP.bright,0.911612,0.886432,PRP.wet,0.025179,0.02518,PRP.wet,5.436457,0.7553
