word,pos,assigned_atom,cos_self,cos_top2,top2_atom,margin,l2_self,focus_rate,re_observed
dart,v,BEI.beast,0.874829,0.935721,PER.untouched,-0.060892,11.292417,0.6077,False
millenary,adj,WLD.nonscience,0.839212,0.900102,VAL.sacred,-0.06089,6.129635,0.8615,False
thrash,n,ACT.agitate,0.848608,0.909498,ECO.waste,-0.060889,8.610957,0.6335,False
imitation,adj,VAL.falsehood,0.859055,0.919923,VAL.incorrect,-0.060868,6.481827,0.4149,False
moolah,n,ECO.money,0.794391,0.855249,ACT.emit,-0.060858,10.838594,0.4981,False
invest,v,SOC.individual,0.872415,0.933262,FND.mind,-0.060847,7.759555,0.8789,False
comely,adj,VAL.beauty,0.837908,0.898754,STA.comfort,-0.060846,14.169228,0.443,False
presenter,n,ACT.give,0.862926,0.923768,FND.play,-0.060842,7.670652,0.955,False
ideology,n,SOC.individual,0.86538,0.926218,FND.consciousness,-0.060838,7.290958,0.9093,False
glide,n,ACT.move,0.852027,0.912859,NAT.sea,-0.060832,6.116552,0.6608,False
ravishment,n,EMO.joy,0.849425,0.910257,EXS.spirit,-0.060832,7.077199,0.5255,False
stretch out,v,PRP.long,0.747292,0.808122,NAT.sea,-0.06083,8.263748,0.4612,False
muscle-builder,n,SOC.individual,0.850233,0.911056,WLD.art,-0.060822,13.755913,0.5099,False
soliloquy,n,FND.language,0.843518,0.904336,VAL.correct,-0.060819,7.507383,0.5462,False
plea,n,COM.answer,0.885193,0.94601,EMO.apology,-0.060817,5.511183,0.3948,False
trunk,n,NAT.tree,0.825914,0.886711,PRP.part,-0.060797,14.709182,0.445,False
unwashed,adj,PRP.dirty,0.917798,0.978591,PER.blind,-0.060793,9.166814,0.5413,False
annoyance,n,EMO.anger,0.826423,0.887204,SOC.criticize,-0.060781,9.224415,0.5827,False
shout,n,BOD.mouth,0.870164,0.93094,ACT.emit,-0.060776,9.948623,0.6247,False
tripe,n,ECO.waste,0.853988,0.914763,PRP.blunt,-0.060775,6.686612,0.3387,False
reason,n,LOG.cause,0.835527,0.896292,LOG.reason,-0.060765,7.914449,0.4293,False
preconceive,v,WLD.nonscience,0.839737,0.900501,COM.speak,-0.060764,5.863541,0.3277,False
nibble,v,MAT.food,0.753383,0.814145,PER.fragrance,-0.060762,16.552036,0.4608,False
beget,v,BEI.parent,0.807103,0.867864,ACT.create,-0.060761,16.171419,0.4832,False
motivative,adj,ACT.create,0.813501,0.87426,CHG.begin,-0.060759,12.718708,0.5735,False
sacking,n,ABS.release,0.839684,0.900429,SOC.stateless,-0.060745,10.723885,0.4628,False
moon around,v,EXS.being,0.677139,0.73788,WLD.outer_realm,-0.060742,12.352503,0.5061,False
congratulate,v,SOC.praise,0.903867,0.964607,BEI.parent,-0.06074,7.945059,0.591,False
chancellor,n,SOC.work,0.795152,0.85589,CHG.end,-0.060738,13.950366,0.5074,False
say,v,FND.language,0.789342,0.850076,FND.information,-0.060734,9.993354,0.8391,False
mat,v,FND.transformation,0.842513,0.903246,ACT.rise,-0.060733,11.092871,0.603,False
add up,v,EXS.being,0.7199,0.780632,FND.time,-0.060732,8.237673,0.3685,False
salesmanship,n,WLD.technique,0.841687,0.902415,SOC.official,-0.060728,16.603613,0.4164,False
kink,n,SOC.individual,0.803956,0.864676,PRP.single,-0.06072,12.636302,0.5733,True
columbine,n,NAT.flower,0.793449,0.854163,TIM.appear,-0.060713,10.103148,0.6642,True
monologuise,v,BOD.mouth,0.842163,0.902875,EMO.manifest,-0.060712,13.703351,0.388,False
judgment,n,CHG.end,0.824729,0.885434,EMO.hope,-0.060705,5.726006,0.3778,False
clerk,n,SOC.work,0.673641,0.734344,COG.ignorance,-0.060703,12.383326,0.6725,False
compact,adj,PRP.low,0.872892,0.933592,PRP.narrow,-0.0607,7.474257,0.555,False
battle,v,LOG.cause,0.532163,0.592862,ACT.agitate,-0.060699,11.104577,0.5574,True
alleviator,n,STA.healing,0.818452,0.879149,ACT.move,-0.060697,7.471107,0.6781,False
swage,n,MAT.tool,0.857978,0.918669,ACT.ascend,-0.060691,12.656126,0.4838,False
do-nothing,adj,SOC.individual,0.898715,0.959367,COG.mindless,-0.060652,7.260391,0.8559,False
estuarial,adj,ELM.water,0.791449,0.852094,SOC.village,-0.060645,9.781431,0.7622,False
strike,v,ACT.move,0.807688,0.868327,MAT.tool,-0.060639,14.798683,0.3801,False
category,n,COG.think,0.820524,0.881155,FND.language,-0.060631,14.632133,0.4791,False
approval,n,COG.think,0.814174,0.874802,EMO.wish,-0.060628,7.290914,0.3297,False
seem,v,EXS.being,0.66499,0.725612,EXS.nonbeing,-0.060622,8.025215,0.468,False
Spanish tamarind,n,NAT.tree,0.884385,0.945003,ACT.build,-0.060618,6.16174,0.3585,False
stone,v,PRP.whole,0.855456,0.916075,EXS.void,-0.060618,13.226263,0.6,False
supernatant,adj,ELM.water,0.773463,0.834075,PRP.possible,-0.060613,6.638194,0.3933,False
bad,adj,PRP.difficult,0.842613,0.90322,SOC.criticize,-0.060608,7.182207,0.3167,False
mail,n,ACT.move,0.685169,0.745771,ACT.build,-0.060602,8.483833,0.3911,False
snort,v,ACT.emit,0.797987,0.858588,PER.untouched,-0.060601,14.274294,0.4319,False
whicker,v,ACT.emit,0.797987,0.858588,PER.untouched,-0.060601,14.274294,0.4307,False
zestful,adj,EMO.pleasure,0.881439,0.942038,EMO.apology,-0.060599,7.961986,0.4858,False
outer space,n,SPC.place,0.738979,0.799572,WLD.outer_realm,-0.060593,12.033187,0.5694,False
